哦	o2，真不走运。	Oh, that's tough luck.
飞舞	树叶在风中fei1wu3。	The leaves whirled in the wind.
药丸	这些yao4wan2可以止痛.	These pills bring relief from pain.
低温	冷疗法一种在医疗中局部或全部使用di1wen1的方法	The local or general use of low temperatures in medical therapy.
海峡	英国和法国之间隔著英吉利hai3xia2.	England is separated from France by the Channel.
长远	从chang2yuan3看, 物价肯定要涨.	In the long run pricesare bound to rise.
名词	这一段里面有很多ming2ci2，例如男孩、女孩和书本。	In this paragraph there are many nouns, such as boy, girl, and book.
老化	排水系统已经lao3hua4了。	The drainage system has been aged.
色素	这种疾病能引起面部se4su4斑沉著.	The disease causes patches of pigmentation on the face.
南非	英国来的燕子飞到Nan2fei1那样远的地方。	Swallows from England go as far as South Africa.
听取	法官ting1qu3了他们的忠诚誓言	The judge received their oath of allegiance.
嗅	那狗xiu4出有老鼠的气味。	The dog scented a rat.
书本	这个婴儿打开shu1ben3彷佛他会念书。	The baby opened the book as if he were able to read.
袍	女王在仪式过後脱去了王pao2.	The Queen disrobed after the ceremony.
机车	玩具火车的客车车厢用专门的挂钩挂上了ji1che1。	The carriages of the toy train lock onto the toy train with a special hook.
会场	我不可能及时赶到hui4chang3，除非我赶上了较找的一班火车。	I couldn't have got to the meeting on time -- unless I had caught an earlier train.
法规	我们必须遵守这个国家的fa3gui1。	We must obey the statutes in this country.
分局	税务局：这里是涉外fen1ju2。	Tax official: This is the foreign tax bureau.
标语	一条biao1yu3在黑板正上方。	A slogan is over the blackboard.
格雷	Ge2lei2厄姆，肯尼思1859－1932英国作家，以其散文和儿童文学著名，著名的有杨柳风（1908年）	British writer known for his essays and children's books, notably The Wind in the Willows(1908).
毕生	她bi4sheng1致力于科学。	She dedicated her life to science.
班机	你的这一ban1ji1是英国航空公司的飞机.	Your carrier for this flight is British Airways.
堡垒	这bao3lei3占据控制地位.	The fort occupies a commanding position.
半决赛	我队已有资格进入ban4jue2sai4.	Our team has qualified for the semi-final.
交配	骡子是公驴和母马jiao1pei4而生的杂种动物.	A mule is a hybrid of a male donkey and a female horse.
甜食	我非常偏爱tian2shi2。	I'm very partial to sweet foods.
报价	你若对我们的bao4jia4感兴趣，请与我们联系。	Should you be interested in our offer, please contact us.
差点儿	我cha4dian3r5把对整个这件事的看法向他讲了。	I came near to telling him just what I thought of the whole business.
推断	侦探根据所掌握的线索tui1duan4出作案的人。	Detective deduce from the clue who have commit the crime.
摇晃	桶的yao2huang4使一些牛奶溢了出来。	The sway of the pail cause some milk to spill out.
支持者	他一生都是教会的热心zhi1chi2zhe3。	He has been a pillar of the Church all his life.
求职	我不去问他qiu2zhi2面试的情况, 这是他现在的伤心事.	I wouldn't ask him about his job interview; it's rather a sore point with him at the moment.
反倒	我再一考虑，fan3dao4觉得可能还是她对。	On further reflection, I saw that she might be right, after all.
一行	干这yi1xing2必须心狠, 谁顾别人谁吃亏.	In this business you have to be tough, and the devil take the hindmost.
盖子	这果酱罐的gai4zi5拧不开.	The lid of this jam pot won't unscrew.
缝合	护士在feng2he2伤口前先清洁一下伤口。	The nurse cleansed the wound before stitching it.
体育场	人群慢慢从ti3yu4chang3散去.	The crowds drifted away from the stadium.
巡	那个贼被旅店的xun2察职员抓住了.	The thief was caught by the hotel dick.
来宾	大会议程首先 是向lai2bin1致欢迎辞.	The proceedings will begin with a speech to welcome the guests.
耽搁	委员会的事务因程序上有困难而dan1ge5了.	The business of the committee was delayed by procedural difficulties.
迫使	大雨po4shi3我们呆在户内。	The heavy rain compelled us to stay indoors.
骚动	他的关于种族隔离的谈话激起了sao1dong4。	His talk about apartheid created agitation.
拆开	他把手表chai1kai1来修理。	He took the watch apart to repair it.
至关重要	这些价值对于我们的生活方式是zhi4guan1zhong4yao4的。	Such values are central to our way of life.
外语	精通一门wai4yu3难不难?	Is it difficult to feel at home in (ie confident when using) a foreign language?
深色	我没有适合那种场合的礼服，也许穿shen1se4西服还行吧？	I have no formal clothes for the occasion. Perhaps I can get by in a dark suit?
赛跑	杰克在sai4pao3中的名次排在其他两名运动员之后，而他原来是希望得第一名的。	Jack was placed behind two other runners in the race that he had hoped to win.
受够	你说话太不礼貌了，我已shou4gou4了。	I've had enough of your impertinent words.
到时候	dao4 shi2hou5树就落叶、 花就掉瓣.	Trees shed their leaves and flowers shed their petals.
侵袭	这种植物不容易受病害qin1xi2。	The plant is not susceptible to disease.
来得	今年复活节lai2de5早.	Easter comes early this year.
香料	请给蛋糕多加点xiang1liao4。	Please add more spices to the cake.
摩西	Mo2xi1率领以色列人脱离在埃及的奴隶生涯。	Moses led the Israelites out of their bondage in Egypt.
谋生	该地区的农民不得不在这块贫瘠的土地上挣扎mou2sheng1。	The farmers in this area have to struggle to wrest a living from the infertile soil.
弄清	警方急切地想nong4qing1这一神秘事件的真相。	The police is eager to get to the bottom of this mystery.
栅栏	导向装置用作指向物或用来调整运动方向或运行的装置，如尺子、调整片或zha4lan5	A device, such as a ruler, tab, or bar, that serves as an indicator or acts to regulate a motion or operation.
把柄	扫帚梆在一块儿的枝条、干草或刺毛，缚在一根棍或ba3bing3上，作清扫之用	A bunch of twigs, straw, or bristles bound together, attached to a stick or handle, and used for sweeping.
美洲	他们是在他们因宗教信仰而受到迫害之后来到Mei3zhou1的。	They came to America after being persecuted for their religious beliefs.
除外	他的小说我都爱看, 只是最後一部chu2wai4.	I enjoyed all his novels with the exception of his last.
明了	她在一封长信里阐ming2liao3辞职原因.	She set out the reasons for her resignation in a long letter.
冰球	要参加体育活动--篮球、 bing1qiu2、 游泳之类的活动.	Take any sport basketball, ice hockey, swimming or whatever.
神灵	他们的谈话中充满了渎犯shen2ling2的言词。	Their conversation was full of blasphemy.
银行业	如今，yin2hang2ye4面临许多竞争。	Banking faces much competition nowadays.
护卫	导弹在hu4wei4之下转移.	The missiles were moved under convoy.
公款	部长被查出挪用了gong1kuan3。	The minister was found to have appropriated government money.
患有	她huan4you3消化系统疾病。	She suffered from digestive trouble.
遍地	她一遍又一bian4di4不断哼唱那支歌。	She continued to hum the song over and over.
紊乱	嗜眠病以突然的和不由自主的，虽然通常短暂的深度睡眠发作，有时伴随有麻痹和幻觉为特征的一种wen3luan4	A disorder characterized by sudden and uncontrollable, though often brief, attacks of deep sleep, sometimes accompanied by paralysis and hallucinations.
念书	我今晚不想nian4shu1。	I don't feel like studying tonight.
老乡	从那时起，lao3xiang1们都在谈＂我们的梅大夫＂了。	From then on all the villagers talked about""our Doctor Mei"".
资本主义	zi1ben3 zhu3yi4制度下的被压迫人民生活在一个与我们截然不同的世界里。	The Oppressed people under capitalism live in a world far other
炉子	把锅从lu2zi5上端开时, 汤就不再沸腾了.	The boiling soup subsided when the pot was taken off the heat.
原子弹	yuan2zi3dan4爆炸总是伴随着巨大的火球。	The atomic explosion is always accompanied by huge fireball.
揭发	揭露，泄露；公开揭露或jie1fa1的行为或过程	The act or process of revealing or uncovering.
一眼	她羞怯地从她的扇子后面看了他yi1 yan3。	She glanced shyly at him from behind her fan.
推销员	广告称｀聘请有积极性的年轻人任tui1xiao1yuan2＇.	The advertisementread Young self-starter wanted as salesperson'.
擦干	游泳后，她用毛巾ca1gan1身子。	After her swim she dried herself with a towel.
暴雨	bao4yu3中出现了好多次闪电。	There were many flashes of lightning during the storm.
民主党	Min2zhu3dang3希望在下次大选中重新执政。	The democrats hope to get back at the next election.
准许	对於科学家应该zhun3xu3很大的研究自由。	One should permit a scientist a lot of latitude in his research.
无可奈何	整个晚上wu2ke3 nai4he2地看他们的家庭电影真受罪!	Having to watch their home movies all evening was a fate worse than death!
探亲	他每两年有一次tan4qin1假。	He gets home leave every two years.
柔顺	友善的，和蔼的性情体谅的或和蔼的；和善的，rou2shun4的	Considerate or kindly in disposition; amiable and tender.
无用	他退休后觉得自己年老wu2yong4了。	When he retired he felt that he had outlived his usefulness.
大西洋	飞机在Da4xi1yang2中部飞行时, 其中一个发动机出了故障.	One of the plane's engines gave out in mid-Atlantic.
喧闹	一阵xuan1nao4声转移了我们的注意力。	A loud noise diverted my attention.
爆破	危险! 正在bao4po4!	Danger! Blasting in progress!
